epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,2789.83,1.76607,1.15689,0.91068,0.73906,0.66643,0.6745,0.25561,2.09008,1.38322,1.02438,0.000691222,0.000691222,0.000691222
123,2812.82,1.74268,1.26062,0.9646,0.75827,0.70022,0.68155,0.26053,2.08876,1.3704,1.02741,0.000689422,0.000689422,0.000689422
124,2836.06,1.74003,1.24935,0.93489,0.71784,0.71065,0.70739,0.27728,1.98695,1.4008,0.97521,0.000687622,0.000687622,0.000687622
125,2860.65,1.66098,1.20927,0.90634,0.79623,0.68813,0.72664,0.27659,2.00431,1.43142,0.9738,0.000685822,0.000685822,0.000685822
126,2887,1.74797,1.15845,0.92238,0.77481,0.69476,0.74338,0.28433,1.97536,1.3867,0.97645,0.000684022,0.000684022,0.000684022
127,2913.76,1.66515,1.12941,0.90601,0.78523,0.71505,0.74299,0.28273,1.95314,1.37697,0.97538,0.000682223,0.000682223,0.000682223
128,2939.58,1.65313,1.14087,0.93807,0.71166,0.64569,0.6725,0.27581,1.95981,1.4549,0.96862,0.000680423,0.000680423,0.000680423
129,2964.73,1.66462,1.22784,0.92594,0.74192,0.63389,0.65852,0.27564,1.98368,1.43692,0.97128,0.000678623,0.000678623,0.000678623
130,2990.24,1.66896,1.12953,0.91523,0.70896,0.69173,0.68452,0.27883,1.95947,1.43811,0.96739,0.000676823,0.000676823,0.000676823
131,3016.13,1.72552,1.18256,0.91133,0.73912,0.67737,0.68562,0.27057,1.93033,1.42331,0.96458,0.000675023,0.000675023,0.000675023
132,3044.55,1.6452,1.13738,0.90157,0.77649,0.67501,0.71086,0.25106,1.95406,1.41768,0.96163,0.000673224,0.000673224,0.000673224
133,3069.7,1.65803,1.13379,0.91461,0.77876,0.6862,0.71363,0.26955,1.94816,1.38793,0.96651,0.000671424,0.000671424,0.000671424
134,3093.08,1.67528,1.13842,0.90508,0.76912,0.71074,0.72949,0.28636,1.93289,1.33296,0.96966,0.000669624,0.000669624,0.000669624
135,3115.8,1.67479,1.14205,0.89596,0.76681,0.71783,0.73805,0.29048,1.92535,1.33142,0.97172,0.000667824,0.000667824,0.000667824
