epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2111.05,0.78051,2.18028,0.66314,1.08168,0.87813,0.91228,0.91516,0.68871,0.86557,0.78947,0.79375,0.4217,0.84732,2.79229,0.75107,1.21091,0.0007724,0.0007724,0.0007724
64,2143.71,0.85285,2.12569,0.74266,1.1258,0.88259,0.92327,0.92347,0.69639,0.893,0.84211,0.81148,0.42426,0.8609,2.89975,0.73759,1.20977,0.0007526,0.0007526,0.0007526
65,2176.52,0.76077,1.80591,0.6601,1.0502,0.9257,0.87432,0.94146,0.70003,0.88863,0.83996,0.82158,0.43855,0.92524,3.01066,0.73348,1.26861,0.0007328,0.0007328,0.0007328
66,2209.08,0.80722,1.9096,0.68337,1.06955,0.89236,0.91228,0.93511,0.70182,0.84985,0.84211,0.8312,0.4326,0.88776,3.16115,0.71308,1.24437,0.000713,0.000713,0.000713
67,2242.08,0.81436,1.94646,0.67741,1.08336,0.96054,0.85408,0.94443,0.73,0.92113,0.81962,0.85667,0.44537,0.86368,3.09023,0.67758,1.2355,0.0006932,0.0006932,0.0006932
68,2274.28,0.73947,1.79538,0.62547,1.03621,0.95722,0.94737,0.96382,0.7579,0.88658,0.82281,0.84892,0.46134,0.88073,3.03931,0.65783,1.22487,0.0006734,0.0006734,0.0006734
69,2306.98,0.81754,1.84703,0.67561,1.06537,0.97774,0.92982,0.97408,0.75523,0.88498,0.84211,0.84205,0.45936,0.86147,2.91879,0.65294,1.1781,0.0006536,0.0006536,0.0006536
70,2338.86,0.79186,1.72061,0.64361,1.0637,0.95923,0.92982,0.98247,0.76169,0.86973,0.81995,0.82007,0.46997,0.8288,2.79986,0.6309,1.15326,0.0006338,0.0006338,0.0006338
71,2369.69,0.80927,1.79848,0.63059,1.0519,0.94628,0.92714,0.98198,0.74435,0.84789,0.82456,0.83905,0.48868,0.84282,2.72605,0.62983,1.16151,0.000614,0.000614,0.000614
72,2400.37,0.82522,1.98677,0.66722,1.08272,0.96259,0.94737,0.98474,0.74825,0.87922,0.82456,0.89851,0.49628,0.83044,2.60708,0.63029,1.14943,0.0005942,0.0005942,0.0005942
73,2430.93,0.73703,1.72844,0.6147,1.04717,0.96346,0.92535,0.97234,0.76985,0.87218,0.83801,0.88869,0.48919,0.81003,2.60467,0.60683,1.13318,0.0005744,0.0005744,0.0005744
74,2461.48,0.79667,1.91509,0.639,1.0888,0.91417,0.94737,0.97279,0.75597,0.87346,0.87719,0.91202,0.48917,0.83845,2.65787,0.60248,1.14859,0.0005546,0.0005546,0.0005546
75,2492.06,0.76021,1.77228,0.60642,1.07606,0.93428,0.89474,0.9624,0.7522,0.8875,0.84211,0.90239,0.47979,0.87448,2.69979,0.61174,1.17911,0.0005348,0.0005348,0.0005348
